HOMBRE,SOLTERO,FAMILIAR,32,2552610,500000,0,72,19530000,561,E
HOMBRE,SOLTERO,PROPIA,41,3593474,1960502,0,60,4706000,197,E
HOMBRE,SOLTERO,FAMILIAR,35,2218604,1150416,0,60,19599000,107,D
HOMBRE,CASADO,FAMILIAR,72,1527586,829992,0,60,25000000,715,E
HOMBRE,CASADO,PROPIA,54,1581249,747658,0,60,16500000,927,E
HOMBRE,SOLTERO,FAMILIAR,31,2056972,1053309,0,130,62200000,767,E
HOMBRE,SOLTERO,PROPIA,40,2233459,1157215,0,140,84000000,36,A
MUJER,SOLTERO,FAMILIAR,46,1577865,877477,0,157,57000000,249,E
HOMBRE,CASADO,FAMILIAR,29,1977665,1124490,0,140,66500000,494,E
HOMBRE,CASADO,PROPIA,38,2623002,1572761,0,120,75500000,555,E
MUJER,SOLTERO,PROPIA,63,1608238,718244,0,140,35000000,310,E
HOMBRE,CASADO,PROPIA,42,0,93343978,0,60,500000000,14,A
HOMBRE,CASADO,PROPIA,43,35000000,5000000,0,60,40000000,349,E
HOMBRE,CASADO,PROPIA,64,2915274,1572336,0,61,150000000,441,E
HOMBRE,CASADO,#¡VALOR!,64,1254386,662678,0,60,15876000,533,E
HOMBRE,SOLTERO,PROPIA,38,2954198,1712116,0,60,13112000,837,E
HOMBRE,SOLTERO,PROPIA,38,2954198,1712116,0,72,84025530,837,E
HOMBRE,CASADO,PROPIA,53,2385196,741762,0,60,26200000,441,E
MUJER,SEPARADO,PROPIA,69,2351496,494955,0,60,14090000,45,D
HOMBRE,SOLTERO,ARRENDADA,35,2056971,976091,0,140,44300000,614,E
HOMBRE,CASADO,PROPIA,43,3228530,1446677,0,143,95000000,341,E
HOMBRE,CASADO,PROPIA,58,1021200,458342,0,60,10000000,44,C
HOMBRE,CASADO,FAMILIAR,44,2206226,937495,0,61,17000000,348,E
HOMBRE,CASADO,PROPIA,42,1510274,493411,0,72,39851371,5,A
HOMBRE,SOLTERO,FAMILIAR,37,1968393,750995,0,60,20432000,622,E
HOMBRE,SOLTERO,FAMILIAR,28,1892501,358007,0,140,54500000,158,D
MUJER,SOLTERO,FAMILIAR,42,946903,708753,0,120,20000000,67,B
HOMBRE,SOLTERO,FAMILIAR,52,1864255,931655,0,121,60500000,5,A
HOMBRE,SOLTERO,FAMILIAR,34,2105562,1300809,0,60,33549000,591,E
HOMBRE,SOLTERO,FAMILIAR,32,1892501,662967,0,140,55300000,583,E
MUJER,SOLTERO,PROPIA,52,4654101,500000,0,72,34293000,376,D
HOMBRE,UNION LIBRE ,PROPIA,58,3641927,1654242,0,140,130000000,5,A
HOMBRE,CASADO,FAMILIAR,32,1495640,802649,0,120,51000000,249,E
HOMBRE,SOLTERO,FAMILIAR,31,2241483,1082328,0,120,53000000,463,E
HOMBRE,CASADO,FAMILIAR,40,3221118,1716127,0,140,123000000,36,A
HOMBRE,SOLTERO,FAMILIAR,45,666651,69794,2,48,5000000,102,D
HOMBRE,UNION LIBRE ,#¡VALOR!,52,4316000,2300000,3,60,22966000,10,A
